ACID02018	ALL	Baldi's Basics	https://github.com/PS3-Pro/Packages/releases/download/Ports/Baldis_Basics.pkg		IV0000-ACID02018_00-BALDISBASICS4PS3	28011376
CUPH00001	ALL	Cuphead (PSP Version)	https://github.com/PS3-Pro/Packages/releases/download/Ports/Cuphead.pkg		PSPPS3-CUPH00001_00-0000000000000001	141180272
EOSD06009	ALL	Touhou Koumakyou	https://github.com/PS3-Pro/Packages/releases/download/Ports/Touhou_Koumakyou.pkg		IV0000-EOSD06009_00-TOUHOU06EOSD4PS3	35404080
FIVENATF0	ALL	Five Nights at Freddys	https://github.com/PS3-Pro/Packages/releases/download/Ports/Five_Nights_at_Freddys.pkg		UP0001-FIVENATF0_00-0000000000000000	14470348
FNFE00000	ALL	Friday Night Funkin'	https://github.com/PS3-Pro/Packages/releases/download/Ports/Friday_Night_Funkin.pkg		IV0000-FNFE00000_00-FRIDAYNIGHTFUNKN	37317744 
GSPS40987	ALL	Geometry Dash	https://github.com/PS3-Pro/Packages/releases/download/Ports/Geometry_Dash.pkg		PSPPS3-GSPS40987_00-0000000000000001	121792102
HERETIC01	ALL	Heretic	https://github.com/PS3-Pro/Packages/releases/download/Ports/Heretic.pkg		UP0001-HERETIC01_00-0000000000000000	5138022
HEXEN0001	ALL	Hexen	https://github.com/PS3-Pro/Packages/releases/download/Ports/Hexen.pkg		UP0001-HEXEN0001_00-0000000000000000	4393533
HONG97000	ALL	Hong Kong 97	https://github.com/PS3-Pro/Packages/releases/download/Ports/Hong_Kong_97.pkg		IV0000-HONG97000_00-HONGKONG97REMAST	9901456 
IGORDOSBO	ALL	Igor - Objective Uikokahoni	https://github.com/PS3-Pro/Packages/releases/download/Ports/Igor_-_Objective_Uikokahonia.pkg		TA9000-IGORDOSBO_00-0000000000000000	16357785
KIOS00001	ALL	Cuphead - Demo 	https://github.com/PS3-Pro/Packages/releases/download/Ports/Cuphead_-_Demo.pkg		UP0001-KIOS00001_00-0000000000000000	137363456
KIOS00002	ALL	Duck Hunt - Classic (PSMove)	https://github.com/PS3-Pro/Packages/releases/download/Ports/Duck_Hunt_-_Classic.pkg		UP0001-KIOS00002_00-0000000000000000	
KIOS00003	ALL	Duck Hunt - Remake (PSMove)	https://github.com/PS3-Pro/Packages/releases/download/Ports/Duck_Hunt_-_Remake.pkg		UP0001-KIOS00003_00-0000000000000000	
KSPY09415	ALL	Undertale	https://github.com/PS3-Pro/Packages/releases/download/Ports/Undertale.pkg		BR8102-KSPY09415_00-UNDERTALE0816222	157286400
MKYG00020	ALL	Super Mario BOOM	https://github.com/PS3-Pro/Packages/releases/download/Ports/SM_BOOM.pkg		MK0002-MKYG00020_00-MARIOKABOOMYG555	587202
MSWP99999	ALL	Minesweeper Plus	https://github.com/PS3-Pro/Packages/releases/download/Ports/Minesweeper_Plus.pkg		IV0000-MSWP99999_00-MINESWEEPERPLUSD	58528224 
MUGENMK95	ALL	Mugen	https://github.com/PS3-Pro/Packages/releases/download/Ports/Mugen.pkg		EP0001-MUGENMK95_00-0000111122223333	46451916
OSPX00001	ALL	Supaplex	https://github.com/PS3-Pro/Packages/releases/download/Ports/Open_Supaplex.pkg		UP0001-OSPX00001_00-0000000000000000	27158118
POOLODOOM	ALL	Pool of Doom	https://github.com/PS3-Pro/Packages/releases/download/Ports/Pool_of_Doom.pkg		XP0001-POOLODOOM_00-0000000000000000	2998927
PXSM12024	ALL	Super Mario Bros	https://github.com/PS3-Pro/Packages/releases/download/Ports/SMB.pkg		SP0001-PXSM12024_00-0000000000000000	10485760
RXDOO1052	ALL	Doom	https://github.com/PS3-Pro/Packages/releases/download/Ports/Doom.pkg		DP0001-RXDOO1052_00-0000111122223333	16777216
RXDOO1351	ALL	Doom 2	https://github.com/PS3-Pro/Packages/releases/download/Ports/Doom2.pkg		DP0001-RXDOO1351_00-0000111122223333	22020096
S1F00S2A0	ALL	Sonic Forever	https://github.com/PS3-Pro/Packages/releases/download/Ports/Sonic_Forever.pkg		UP0001-S1F00S2A0_00-SONIC1FOREVER000	69310873
S2A00S1F0	ALL	Sonic 2: Absolute	https://github.com/PS3-Pro/Packages/releases/download/Ports/Sonic_2_-_Absolute.pkg		UP0001-S2A00S1F0_00-SONIC2ABSOLUTE00	61645360
SAGE12024	ALL	Sonic: Strange Dream World	https://github.com/PS3-Pro/Packages/releases/download/Ports/Sonic_Strange_Dream_World.pkg		GP0001-SAGE12024_00-0000000000000000	87975526
SLES00000	ALL	Friday Night Funkin' (PSP Version)	https://github.com/PS3-Pro/Packages/releases/download/Ports/Friday_Night_Funkin.pkg		PSPPS3-SLES00000_00-0000000000000001	131072000
SM64ZMOD1	ALL	Super Mario 64 HD - English	https://github.com/PS3-Pro/Packages/releases/download/Ports/SM_English.pkg		000000-SM64ZMOD1_00-0000000000000000	16357785
SM64ZMOD1	ALL	Super Mario 64 HD - Español	https://github.com/PS3-Pro/Packages/releases/download/Ports/SM_Spanish.pkg		000000-SM64ZMOD1_00-0000000000000000	16357785
SM64ZMOD1	ALL	Super Mario 64 HD - Português	https://github.com/PS3-Pro/Packages/releases/download/Ports/SM_Portuguese.pkg		000000-SM64ZMOD1_00-0000000000000000	16357785
SMUM02024	ALL	Super Mario UniMaker	https://github.com/PS3-Pro/Packages/releases/download/Ports/SM_-_UniMaker.pkg		UP0001-SMUM02024_00-0000000000000000	300941312
SMW00PS33	ALL	Super Mario War	https://github.com/PS3-Pro/Packages/releases/download/Ports/SMW.pkg		UP0001-SMW00PS33_00-0000000000000000	25165824
SONICEXE0	ALL	Sonic.EXE	https://github.com/PS3-Pro/Packages/releases/download/Ports/Sonic_EXE.pkg		PSPPS3-SONICEXE0_00-0000000000000001	117440512
SONICMANI	ALL	Sonic: Mania	https://github.com/PS3-Pro/Packages/releases/download/Ports/Sonic_Mania.pkg		CUSTOM-SONICMANI_00-0000000000000000	211812352
SONICNEXU	ALL	Sonic: Nexus	https://github.com/PS3-Pro/Packages/releases/download/Ports/Sonic_Nexus.pkg		UP0001-SONICNEXU_00-0000000000000000	13736345
STHR10000	ALL	Sonic: Origins 1	https://github.com/PS3-Pro/Packages/releases/download/Ports/Sonic_Origins.pkg		UP0001-STHR10000_00-0000000000000000	49807360
STHR20000	ALL	Sonic: Origins 2	https://github.com/PS3-Pro/Packages/releases/download/Ports/Sonic_Origins_2.pkg		UP0001-STHR20000_00-0000000000000000	66584576
TBOI83296	ALL	The Binding of Isaac Rebirth	https://github.com/PS3-Pro/Packages/releases/download/Ports/The_Binding_of_Isaac_Rebirth.pkg		PSPPS3-TBOI83296_00-0000000000000001	135266304
TEMP02000	ALL	Tempest 2000	https://github.com/PS3-Pro/Packages/releases/download/Ports/Tempest_2000.pkg		UP0001-TEMP02000_00-0000000000000000	7214202
TYRI12000	ALL	Tyrian 2000	https://github.com/PS3-Pro/Packages/releases/download/Ports/Tyrian_2000.pkg		UP0001-TYRI12000_00-0000000000000000	22649241
ULES95749	ALL	Pizza Tower	https://github.com/PS3-Pro/Packages/releases/download/Ports/Pizza_Tower.pkg		PSPPS3-ULES95749_00-0000000000000001	137363456
WARCRAFTD	ALL	Warcraft Orcs and Humans	https://github.com/PS3-Pro/Packages/releases/download/Ports/Warcraft_-_Orcs_and_Humans.pkg		TA9000-WARCRAFTD_00-0000000000000000	79167488